firm,model,drive,frame_type,generation_number,year,restyling_number,mileage,transmission,engine_power,steering_wheel,fuel_type,volume,ownership_periods,price
Jaguar,XF,FR,SEDAN,1,2008,0,150000,AT,416,left,GASOLINE,4200.0,10.0,750000
Honda,Vezel,4WD,SUV,1,2014,0,93000,SAT,132,right,GASOLINE,1500.0,0.0,1550000
Lifan,X60,FF,SUV,1,2015,-1,120000,MANUAL,128,left,GASOLINE,1800.0,2.0,569000
Volkswagen,Tiguan,4WD,SUV,1,2008,0,230000,MT,,,,,,650000
Hyundai,Matrix,FF,HATCH,1,2008,2,48000,AUTO,103,left,GASOLINE,1600.0,2.0,489000
Hyundai,Santa Fe,4WD,SUV,4,2019,0,50000,AT,200,left,DIESEL,2200.0,1.0,2870000
Mercedes-Benz,M-Class,4WD,SUV,2,2008,0,224000,AT,272,left,GASOLINE,3500.0,3.0,1090000
BMW,5-Series,4WD,SEDAN,6,2011,0,196000,AT,218,left,DIESEL,2000.0,3.0,1330000
Honda,Civic,FF,SEDAN,8,2008,1,225000,CVT,95,left,GASOLINE,1300.0,8.0,400000
Kia,Optima,FF,SEDAN,4,2018,1,100000,AT,188,left,GASOLINE,2400.0,1.0,1700000
Skoda,Rapid,FF,HATCH,1,2015,0,175000,MANUAL,90,left,GASOLINE,1600.0,1.0,550000
Lifan,X60,FF,SUV,1,2013,0,96000,MANUAL,128,left,GASOLINE,1800.0,4.0,394900
Audi,Q7,4WD,SUV,1,2008,0,220000,AT,233,left,DIESEL,3000.0,0.0,404000
Ford,Focus,FF,HATCH,3,2015,0,129000,AUTO,125,left,GASOLINE,1600.0,4.0,709900
Mercedes-Benz,S-Class,FR,SEDAN,3,1997,0,300000,AT,279,left,GASOLINE,4200.0,8.0,650000
Toyota,Vellfire,4WD,MINIVAN,2,2017,1,89000,AUTO,152,right,GASOLINE,2500.0,0.0,2850000
Hyundai,Elantra,FF,SEDAN,4,2009,0,163000,MANUAL,122,left,GASOLINE,1600.0,3.0,490000
Honda,Grace,FF,SEDAN,1,2016,0,89000,SAT,110,right,GASOLINE,1500.0,0.0,980000
Honda,Accord,FF,SEDAN,8,2008,0,200000,AT,201,left,GASOLINE,2400.0,8.0,710000
Nissan,Maxima,FF,SEDAN,4,1995,0,749000,MT,140,left,GASOLINE,2000.0,10.0,149900
Nissan,Skyline,RR,SEDAN,11,2001,0,200000,AUTO,215,right,GASOLINE,2500.0,0.0,320000
Toyota,RAV4,4WD,SUV,4,2013,0,122000,AUTO,146,left,GASOLINE,2000.0,3.0,1520000
BMW,5-Series,FR,SEDAN,7,2019,0,50000,AT,190,left,DIESEL,2000.0,1.0,3290000
Geely,Emgrand GT,FF,SEDAN,1,2016,0,91000,AUTO,163,left,GASOLINE,1800.0,4.0,1200000
Nissan,Leaf,FF,HATCH,1,2012,0,64000,AUTO,109,right,ELECTRO,0.0,0.0,499000
Kia,Sportage,4WD,SUV,4,2019,0,5000,AUTO,150,left,GASOLINE,2000.0,1.0,1670000
Daewoo,Matiz,FF,HATCH,0,2006,0,102000,MANUAL,52,left,GASOLINE,796.0,2.0,114900
Opel,Insignia,FF,LIFTBACK,1,2011,0,160000,MT,140,left,GASOLINE,1800.0,2.0,555555
Toyota,Tundra,4WD,PICKUP,2,2008,0,231000,AT,381,left,GASOLINE,5700.0,4.0,2230000
Peugeot,407,FF,SEDAN,1,2005,0,215000,MANUAL,136,left,GASOLINE,2000.0,7.0,230000
Opel,Astra,FF,HATCH,0,2011,0,180000,MANUAL,115,left,GASOLINE,1600.0,3.0,397000
Toyota,Prius,FF,LIFTBACK,4,2016,0,60000,CVT,98,left,GASOLINE,1800.0,1.0,1480000
Volkswagen,Tiguan,FF,SUV,2,2017,0,65000,SAT,150,left,GASOLINE,1400.0,1.0,1647647
Mercedes-Benz,CLK-Class,FR,COUPE,2,2003,0,180000,AT,306,left,GASOLINE,5000.0,0.0,650000
