firm,model,drive,frame_type,generation_number,year,restyling_number,mileage,transmission,engine_power,steering_wheel,fuel_type,volume,ownership_periods,price
Land Rover,Range Rover,4WD,SUV,3,2007,1,280000,AT,396,left,GASOLINE,4200.0,18.0,735000
Chevrolet,TrailBlazer,4WD,SUV,1,2008,1,233000,AT,295,left,GASOLINE,4200.0,3.0,520000
Renault,Megane,FF,SEDAN,2,2004,0,270000,MANUAL,113,left,GASOLINE,1600.0,7.0,100000
Mazda,Mazda3,FF,HATCH,1,2008,1,135000,AT,105,left,GASOLINE,1600.0,7.0,430000
Toyota,Camry,FF,SEDAN,9,2018,0,93000,AT,181,left,GASOLINE,2500.0,4.0,2150000
Mercedes-Benz,C-Class,RR,SEDAN,3,2011,-1,130000,AUTO,184,left,GASOLINE,1800.0,7.0,1100000
Nissan,Qashqai,FF,SUV,1,2013,1,184047,MANUAL,114,left,GASOLINE,1600.0,1.0,729000
Nissan,Juke,FF,SUV,1,2012,0,62754,AUTO,117,left,GASOLINE,1600.0,1.0,889000
Honda,Odyssey,FF,MINIVAN,1,1999,1,216000,AUTO,150,right,GASOLINE,2300.0,0.0,180000
BMW,1-Series,FR,HATCH,2,2012,0,186405,AT,136,left,GASOLINE,1600.0,8.0,734000
Kia,Sportage,4WD,SUV,3,2015,1,102749,AUTO,150,left,GASOLINE,2000.0,2.0,1369000
Kia,Ceed,FF,WAGON,2,2014,0,51773,MANUAL,129,left,GASOLINE,1600.0,1.0,629000
Hyundai,Equus,RR,SEDAN,2,2014,1,186253,AUTO,334,left,GASOLINE,3800.0,3.0,1059000
Toyota,Corolla,FF,SEDAN,10,2007,0,255870,MANUAL,124,left,GASOLINE,1600.0,2.0,539000
Renault,Kaptur,FF,SUV,1,2017,0,42728,AUTO,114,left,GASOLINE,1600.0,1.0,1129000
Lexus,IS250,RR,SEDAN,3,2014,0,65368,AUTO,208,left,GASOLINE,2500.0,1.0,1949000
Volkswagen,Tiguan,4WD,SUV,1,2010,0,198000,MANUAL,150,left,GASOLINE,1400.0,3.0,715000
Suzuki,SX4,FF,SUV,2,2017,1,27100,AT,117,left,GASOLINE,1600.0,1.0,1300000
Volkswagen,Jetta,FF,SEDAN,5,2007,0,188000,AUTO,102,left,GASOLINE,1600.0,3.0,445000
Hyundai,Solaris,FF,SEDAN,2,2018,0,14391,AUTO,123,left,GASOLINE,1600.0,1.0,1089000
Nissan,X-Trail,4WD,SUV,3,2021,1,0,AUTO,144,left,GASOLINE,2000.0,0.0,2302000
Nissan,Qashqai,FF,SUV,2,2021,1,0,CVT,144,left,GASOLINE,2000.0,0.0,1987000
Nissan,X-Trail,4WD,SUV,3,2021,1,0,AUTO,144,left,GASOLINE,2000.0,0.0,2302000
Nissan,X-Trail,,SUV,3,2021,1,0,AUTO,144,left,,2000.0,0.0,2206000
Geely,MK,FF,SEDAN,1,2013,1,70000,MT,94,left,GASOLINE,1500.0,3.0,190000
Chevrolet,Spark,FF,HATCH,3,2011,0,178000,AT,68,left,GASOLINE,1000.0,0.0,410000
Toyota,RAV4,FF,SUV,4,2014,0,89007,MT,146,left,GASOLINE,2000.0,1.0,1499000
Hyundai,Creta,4WD,SUV,1,2017,0,38100,AT,121,left,GASOLINE,1600.0,1.0,1250000
Ford,Focus,FF,SEDAN,3,2012,0,121000,AUTO,125,left,GASOLINE,1600.0,3.0,540000
Ford,Focus,FF,SEDAN,3,2011,0,135000,AUTO,125,left,GASOLINE,1600.0,5.0,620000
Hyundai,Solaris,FF,SEDAN,1,2015,1,164000,MANUAL,107,left,GASOLINE,1400.0,3.0,641000
Renault,Sandero Stepway,FF,HATCH,2,2020,1,18000,AUTO,102,left,GASOLINE,1600.0,1.0,1010000
Kia,Ceed,FF,WAGON,2,2016,1,128143,AUTO,135,left,GASOLINE,1600.0,2.0,989990
Kia,Sportage,FF,SUV,3,2011,0,211000,AUTO,150,left,GASOLINE,2000.0,3.0,909000
Subaru,Forester,4WD,SUV,0,2013,0,135000,AUTO,150,left,GASOLINE,1995.0,3.0,1370000
Mazda,Mazda3,FF,SEDAN,1,2007,1,212000,MT,105,left,GASOLINE,1600.0,3.0,425000
Chevrolet,Epica,FF,SEDAN,1,2011,1,201000,AUTO,143,left,GASOLINE,2000.0,4.0,539500
Ford,Focus,FF,WAGON,3,2017,1,158000,AUTO,150,left,GASOLINE,1500.0,3.0,999500
Suzuki,Liana,FF,SEDAN,1,2006,1,250000,MANUAL,106,left,GASOLINE,1600.0,7.0,299000
Ford,Focus,FF,HATCH,2,2008,0,210000,MANUAL,100,left,GASOLINE,1600.0,10.0,225000
Toyota,RAV4,4WD,SUV_3DR,1,1995,0,115000,AT,135,right,GASOLINE,2000.0,0.0,330000
Chevrolet,Lacetti,FF,HATCH,1,2010,0,190000,MANUAL,109,left,GASOLINE,1600.0,4.0,347000
Ford,Mondeo,FF,SEDAN,4,2012,1,196000,MANUAL,120,left,GASOLINE,1600.0,4.0,545000
Ford,Focus,FF,HATCH,3,2012,0,176000,MT,150,left,GASOLINE,2000.0,3.0,545000
Chevrolet,Niva,4WD,SUV,1,2016,1,126000,MANUAL,80,left,GASOLINE,1700.0,3.0,525000
Mitsubishi,Lancer,FF,SEDAN,9,2006,2,187000,MANUAL,98,left,GASOLINE,1600.0,6.0,318000
Peugeot,408,FF,SEDAN,1,2013,0,88000,AT,120,left,GASOLINE,1600.0,2.0,537000
Hyundai,Accent,FF,SEDAN,2,2008,0,131000,MANUAL,102,left,GASOLINE,1500.0,1.0,305000
Toyota,Curren,FF,COUPE,1,1996,1,170000,MANUAL,140,right,GASOLINE,2000.0,0.0,220000
Skoda,Octavia,FF,LIFTBACK,1,2007,1,220000,MT,75,left,GASOLINE,1400.0,3.0,345000
Daihatsu,Mira Cocoa,FF,HATCH,1,2016,1,25734,AUTO,52,right,GASOLINE,700.0,0.0,550000
Mazda,CX-7,4WD,SUV,1,2007,0,150000,AT,244,left,GASOLINE,2300.0,5.0,560000
Lexus,RX270,FF,SUV,3,2012,1,188000,AT,188,left,GASOLINE,2700.0,2.0,1780000
Mazda,Mazda3,FF,HATCH,2,2010,0,112000,AT,105,left,GASOLINE,1600.0,4.0,660000
Mazda,CX-7,4WD,SUV,1,2007,0,160000,AT,238,left,GASOLINE,2300.0,7.0,550000
Hyundai,Elantra,FF,SEDAN,5,2014,1,92000,MT,132,left,GASOLINE,1600.0,3.0,799000
Hyundai,Santa Fe,4WD,SUV,2,2008,0,152000,MT,150,left,DIESEL,2200.0,3.0,750000
Subaru,Impreza XV,4WD,SUV,3,2010,0,140000,AT,150,left,GASOLINE,2000.0,2.0,700000
Toyota,Prius,FF,LIFTBACK,3,2012,1,107000,CVT,99,left,GASOLINE,1800.0,2.0,950000
Opel,Meriva,FF,MINIVAN,1,2006,1,209000,MANUAL,90,left,GASOLINE,1400.0,6.0,269999
Toyota,Avensis,FF,SEDAN,2,2004,0,215000,AT,147,left,GASOLINE,2000.0,7.0,580000
Honda,Fit,4WD,HATCH,1,2002,0,258000,AUTO,86,right,GASOLINE,1300.0,0.0,259000
Infiniti,QX56,4WD,SUV,1,2008,1,236500,AT,325,left,GASOLINE,5600.0,3.0,1325000
Nissan,Qashqai,FF,SUV,1,2013,1,156000,MT,114,left,GASOLINE,1600.0,1.0,800000
Mitsubishi,Galant,FF,SEDAN,8,1999,1,253125,AT,140,right,GASOLINE,1800.0,0.0,133000
Chevrolet,Cruze,FF,SEDAN,1,2011,0,172000,MT,109,left,GASOLINE,1600.0,4.0,453000
Volkswagen,Polo,FF,SEDAN,5,2017,1,110000,AUTO,110,left,GASOLINE,1600.0,1.0,789500
Peugeot,3008,FF,SUV,1,2012,0,133000,AUTO,150,left,GASOLINE,1600.0,1.0,799500
Renault,Logan,FF,SEDAN,1,2010,1,62000,MT,103,left,GASOLINE,1600.0,3.0,355000
Lexus,RX350,4WD,SUV,3,2010,0,89000,AUTO,277,left,GASOLINE,3500.0,4.0,1299900
Kia,Sorento,4WD,SUV,3,2015,0,193000,AUTO,200,left,DIESEL,2200.0,2.0,1859500
Citroen,C4,FF,HATCH,2,2012,0,156000,MANUAL,120,left,GASOLINE,1600.0,4.0,443900
Suzuki,Grand Vitara,4WD,SUV_3DR,2,2007,0,128000,MANUAL,106,left,GASOLINE,1600.0,3.0,545000
Peugeot,308,FF,WAGON,1,2010,0,167000,AUTO,120,left,GASOLINE,1600.0,2.0,379900
Volkswagen,Touareg,4WD,SUV,2,2014,0,131000,AUTO,249,left,GASOLINE,3600.0,2.0,2229900
Toyota,Camry,FF,SEDAN,7,2008,0,244000,AUTO,167,left,GASOLINE,2400.0,8.0,735000
BMW,5-Series,,SEDAN,7,2018,0,39000,,0,left,,0.0,2.0,3050000
Toyota,Camry,FF,SEDAN,7,2009,0,171500,AT,167,left,GASOLINE,2400.0,3.0,1000000
Hyundai,Elantra,FF,SEDAN,3,2004,1,154000,MT,105,left,GASOLINE,1600.0,3.0,240000
Mercedes-Benz,S-Class,4WD,SEDAN,5,2007,0,202600,AT,388,left,GASOLINE,5500.0,7.0,900000
Renault,Sandero Stepway,FF,HATCH,2,2021,1,0,MANUAL,82,left,GASOLINE,1600.0,0.0,906000
Volkswagen,Polo,FF,HATCH,0,2021,0,0,MANUAL,90,left,GASOLINE,1600.0,0.0,986900
Renault,Logan,FF,SEDAN,2,2021,1,0,MANUAL,82,left,GASOLINE,1600.0,0.0,718000
Volkswagen,Polo,FF,HATCH,0,2021,0,0,MANUAL,90,left,GASOLINE,1600.0,0.0,986900
Kia,Optima,FF,SEDAN,4,2018,0,92550,AUTO,188,left,GASOLINE,2400.0,1.0,1699000
Honda,Accord,FF,SEDAN,9,2013,0,176334,AUTO,180,left,GASOLINE,2400.0,4.0,1249000
BMW,3-Series,RR,SEDAN,6,2017,1,96000,AUTO,184,left,GASOLINE,2000.0,2.0,1749000
Skoda,Octavia,FF,LIFTBACK,1,2008,1,179204,MANUAL,150,left,GASOLINE,1800.0,1.0,469960
Toyota,Sprinter,FF,SEDAN,8,1999,1,200000,AT,100,right,GASOLINE,1500.0,0.0,230000
Kia,Rio,FF,HATCH,3,2016,1,67000,MT,107,left,GASOLINE,1400.0,2.0,790000
Iran Khodro,Samand,FF,SEDAN,1,2006,0,167500,MT,100,left,GASOLINE,1800.0,4.0,135000
Chery,Kimo A1,FF,HATCH,1,2012,0,133000,MT,83,left,GASOLINE,1300.0,1.0,199990
Volkswagen,Polo,FF,SEDAN,5,2015,0,81167,AUTO,105,left,GASOLINE,1600.0,1.0,749000
Nissan,X-Trail,4WD,SUV,2,2008,0,176259,MT,141,left,GASOLINE,2000.0,7.0,889000
Volkswagen,Polo,FF,SEDAN,5,2013,0,136780,AUTO,105,left,GASOLINE,1600.0,3.0,599000
Infiniti,QX50,4WD,SUV,2,2019,0,19000,CVT,249,left,GASOLINE,2000.0,2.0,3150000
Nissan,NV200,FF,MINIVAN,1,2016,0,104000,AT,109,right,GASOLINE,1600.0,0.0,965000
Lexus,ES250,FF,SEDAN,6,2015,0,118000,AT,184,left,GASOLINE,2500.0,2.0,2050000
Skoda,Fabia,FF,HATCH,2,2014,1,94000,MANUAL,70,left,GASOLINE,1200.0,1.0,480000
Chevrolet,Lacetti,FF,SEDAN,1,2007,0,240000,AT,109,left,GASOLINE,1600.0,4.0,310000
Porsche,Cayenne,4WD,SUV,1,2008,1,195000,AT,500,left,GASOLINE,4800.0,12.0,900000
Mercedes-Benz,C-Class,FR,SEDAN,1,1995,0,366800,MT,136,left,GASOLINE,2000.0,12.0,160000
Opel,Astra,FF,SEDAN,3,2008,1,140000,AUTO,115,left,GASOLINE,1600.0,13.0,290000
Mitsubishi,Carisma,FF,LIFTBACK,1,2000,0,207000,MANUAL,103,left,GASOLINE,1600.0,4.0,177000
Volkswagen,Polo,FF,SEDAN,5,2012,0,137000,MANUAL,105,left,GASOLINE,1600.0,5.0,310000
Opel,Meriva,FF,MINIVAN,1,2008,1,135000,AUTO,105,left,GASOLINE,1600.0,1.0,295000
Hyundai,Accent,FF,SEDAN,2,2009,0,162212,MT,102,left,GASOLINE,1500.0,7.0,253000
Nissan,Terrano,FF,SUV,3,2015,0,65000,MT,102,left,GASOLINE,1600.0,1.0,830000
Hyundai,Creta,FF,SUV,1,2019,0,43000,AT,149,left,GASOLINE,2000.0,0.0,1450000
Honda,Accord,FF,SEDAN,8,2008,0,123000,AT,201,left,GASOLINE,2400.0,4.0,1002000
Land Rover,Freelander,4WD,SUV,2,2007,0,202000,AT,160,left,DIESEL,2200.0,2.0,680000
Nissan,X-Trail,4WD,SUV,2,2011,1,217268,AUTO,150,left,DIESEL,2000.0,2.0,950000
Chery,Tiggo T11,4WD,SUV,1,2007,0,150000,MT,129,left,GASOLINE,2400.0,7.0,238000
Daewoo,Nexia,FF,SEDAN,1,2009,2,107700,MANUAL,80,left,GASOLINE,1500.0,2.0,145000
Kia,Cerato,FF,SEDAN,3,2013,0,119000,AT,150,left,GASOLINE,2000.0,3.0,860000
Volkswagen,Touareg,4WD,SUV,2,2012,0,168000,AUTO,249,left,GASOLINE,3600.0,3.0,1776000
Ford,Escape,4WD,SUV,1,2002,0,420000,AUTO,203,left,GASOLINE,3000.0,0.0,300000
Toyota,Land Cruiser,4WD,SUV,10,2005,1,330704,MANUAL,131,left,DIESEL,4200.0,0.0,1950000
Volkswagen,Tiguan,4WD,SUV,2,2019,0,32191,AUTO,180,left,GASOLINE,2000.0,1.0,2500000
Skoda,Octavia,FF,LIFTBACK,3,2017,1,199999,AT,110,left,GASOLINE,1600.0,3.0,795000
Daewoo,Matiz,FF,HATCH,1,2007,1,58000,MT,51,left,GASOLINE,800.0,2.0,150000
Ford,Fusion,FF,HATCH,1,2007,1,193300,AT,100,left,GASOLINE,1600.0,1.0,430000
Infiniti,QX80,4WD,SUV,1,2015,1,108000,AUTO,405,left,GASOLINE,5600.0,2.0,2850000
Opel,Mokka,FF,SUV,1,2012,0,126000,MT,140,left,GASOLINE,1800.0,4.0,720000
Daewoo,Nexia,FF,SEDAN,1,2001,0,256341,MANUAL,75,left,GASOLINE,1500.0,0.0,50000
Nissan,Leaf,FF,HATCH,1,2011,0,42350,SSR,109,right,ELECTRO,0.0,0.0,485000
Ford,Focus,FF,HATCH,1,2005,1,205000,AT,130,left,GASOLINE,2000.0,4.0,185000
Daewoo,Nexia,FF,SEDAN,1,2008,2,104000,MANUAL,109,left,GASOLINE,1600.0,2.0,140000
Chery,Sweet QQ,FF,HATCH,1,2006,0,2500,MANUAL,52,left,GASOLINE,800.0,0.0,158099
Citroen,C4,FF,HATCH,1,2010,1,120000,AT,120,left,GASOLINE,1600.0,3.0,415000
Volkswagen,Tiguan,4WD,SUV,1,2008,0,253000,MT,,,,,,590000
Toyota,Corolla,FF,SEDAN,12,2020,0,10000,MANUAL,122,left,GASOLINE,1600.0,1.0,1850000
Lexus,RX350L,4WD,SUV,1,2018,0,52161,AUTO,294,left,GASOLINE,3500.0,1.0,4300000
Lexus,RX270,FF,SUV,3,2012,0,99449,AUTO,188,left,GASOLINE,2700.0,2.0,1950000
Opel,Astra,FF,HATCH,4,2012,0,84000,MANUAL,115,left,GASOLINE,1600.0,2.0,585000
Kia,Picanto,FF,HATCH,2,2013,0,51000,MANUAL,69,left,GASOLINE,1000.0,1.0,519900
Kia,Ceed,FF,HATCH,2,2018,1,90000,AUTO,130,left,GASOLINE,1600.0,1.0,1099990
Renault,Duster,4WD,SUV,0,2020,0,13200,MANUAL,143,left,GASOLINE,2000.0,1.0,1294900
Nissan,Note,FF,HATCH,1,2010,1,104000,AUTO,109,right,GASOLINE,1500.0,0.0,449900
Audi,Q7,4WD,SUV,1,2011,1,183000,AUTO,272,left,GASOLINE,3000.0,4.0,1302900
Ravon,R2,FF,HATCH,0,2017,0,20000,AUTO,85,left,GASOLINE,1249.0,1.0,616400
Mitsubishi,Pajero,4WD,SUV,4,2011,1,198000,AUTO,178,left,GASOLINE,3000.0,6.0,1500000
Infiniti,FX37,4WD,SUV,2,2013,1,102000,AUTO,333,left,GASOLINE,3700.0,2.0,1550000
Volkswagen,Jetta,FF,SEDAN,6,2015,1,130000,AUTO,150,left,GASOLINE,1400.0,3.0,1010000
Volkswagen,Scirocco,,HATCH_3DR,3,2011,0,231000,,0,left,,0.0,0.0,900000
Ford,Fiesta,FF,HATCH,5,2007,1,180000,MT,80,left,GASOLINE,1400.0,2.0,245000
Opel,Astra GTC,FF,HATCH_3DR,4,2012,0,164000,MANUAL,180,left,GASOLINE,1600.0,6.0,649999
Mitsubishi,Lancer,FF,SEDAN,10,2008,0,95500,AUTO,143,left,GASOLINE,1800.0,1.0,680000
Mitsubishi,Mirage Dingo,FF,HATCH,1,2002,1,197300,AT,80,right,GASOLINE,1300.0,0.0,250000
Hyundai,Creta,4WD,SUV,1,2019,0,25000,AUTO,149,left,GASOLINE,2000.0,1.0,1550000
Volkswagen,Passat,FF,SEDAN,5,2001,1,360000,MANUAL,102,left,GASOLINE,1600.0,0.0,190000
Nissan,Sunny,FF,SEDAN,9,2000,0,310000,AUTO,105,right,GASOLINE,1500.0,0.0,125000
Chevrolet,Cruze,FF,SEDAN,1,2012,0,130000,MT,109,left,GASOLINE,1600.0,2.0,550000
Toyota,RAV4,4WD,SUV,4,2013,0,133000,AUTO,146,left,GASOLINE,2000.0,2.0,1450000
Porsche,Cayenne,4WD,SUV,2,2012,0,99800,AT,300,left,GASOLINE,3600.0,4.0,2389000
Mitsubishi,Lancer,FF,SEDAN,9,2003,1,200000,MANUAL,98,left,GASOLINE,1600.0,0.0,280000
Toyota,Auris,FF,HATCH,1,2008,0,86400,MANUAL,124,left,GASOLINE,1600.0,0.0,640000
Honda,Fit,FF,HATCH,2,2010,1,100000,AUTO,99,right,GASOLINE,1300.0,0.0,579000
Nissan,Avenir,4WD,WAGON,2,1999,0,40000,AT,140,right,GASOLINE,2000.0,0.0,239000
Infiniti,Q30,FF,HATCH,1,2017,0,29900,AUTO,149,left,GASOLINE,1600.0,2.0,1949000
Geely,GC6,FF,SEDAN,1,2014,0,105000,MT,94,left,GASOLINE,1500.0,3.0,250000
Daewoo,Nexia,FF,SEDAN,1,2010,2,243000,MT,80,left,GASOLINE,1500.0,2.0,85000
Honda,Civic,FF,HATCH,8,2007,0,235145,SAT,140,left,GASOLINE,1800.0,5.0,325000
Ford,Focus,FF,SEDAN,2,2007,0,150000,MT,125,left,GASOLINE,1800.0,3.0,359000
Volkswagen,Touareg,4WD,SUV,3,2018,0,134500,AT,249,left,GASOLINE,2000.0,2.0,3989000
Hyundai,Solaris,FF,SEDAN,1,2013,0,213121,MANUAL,123,left,GASOLINE,1600.0,0.0,428000
Opel,Meriva,FF,MINIVAN,2,2011,0,92500,MANUAL,100,left,GASOLINE,1400.0,3.0,450000
Mitsubishi,Galant,FF,SEDAN,8,2002,0,220000,AUTO,165,left,GASOLINE,2400.0,0.0,220000
Geely,Emgrand EC7,FF,SEDAN,1,2013,0,180000,MANUAL,126,left,GASOLINE,1800.0,0.0,220000
BMW,X5,4WD,SUV,3,2016,0,56000,AUTO,306,left,GASOLINE,3000.0,3.0,3680000
Chery,QQ6 S21,FF,SEDAN,1,2008,0,240000,MT,83,left,GASOLINE,1300.0,0.0,85000
Skoda,Rapid,FF,LIFTBACK,1,2017,0,116000,MANUAL,90,left,GASOLINE,1600.0,1.0,750000
Hyundai,i40,FF,SEDAN,1,2013,0,93566,MT,150,left,GASOLINE,2000.0,1.0,880000
Daewoo,Matiz,FF,HATCH,1,2007,1,121223,MANUAL,51,left,GASOLINE,800.0,0.0,80000
Chevrolet,Lacetti,FF,SEDAN,1,2008,0,265000,MT,95,left,GASOLINE,1400.0,7.0,230000
Hyundai,Creta,4WD,SUV,1,2018,0,7495,AUTO,149,left,GASOLINE,2000.0,1.0,1399000
Kia,Sportage,FF,SUV,3,2013,0,79703,AUTO,150,left,GASOLINE,2000.0,3.0,1029000
Toyota,Highlander,4WD,SUV,3,2018,1,67000,AUTO,249,left,GASOLINE,3500.0,0.0,3595000
BMW,X6,4WD,SUV,2,2015,0,33062,AUTO,306,left,GASOLINE,3000.0,1.0,3499000
Chevrolet,Lacetti,FF,HATCH,0,2007,0,136257,MANUAL,94,left,GASOLINE,1399.0,2.0,239000
Toyota,RAV4,FF,SUV,5,2020,0,8692,MT,149,left,GASOLINE,2000.0,1.0,2099000
Renault,Duster,4WD,SUV,1,2017,1,52743,AUTO,143,left,GASOLINE,2000.0,1.0,1119000
Haval,H5,4WD,SUV,2,2021,0,0,MT,150,left,GASOLINE,2000.0,0.0,1799000
Haval,F7,4WD,SUV,1,2021,0,0,SAT,190,left,GASOLINE,2000.0,0.0,2124000
Haval,F7x,4WD,SUV,1,2021,0,0,SAT,190,left,GASOLINE,2000.0,0.0,2104000
Chevrolet,Niva,4WD,SUV,1,2013,1,143000,MT,80,left,GASOLINE,1700.0,5.0,550000
Volkswagen,Jetta,FF,SEDAN,6,2014,0,133126,AUTO,122,left,GASOLINE,1400.0,3.0,877600
Mercedes-Benz,E-Class,RR,SEDAN,1,1992,0,300000,MANUAL,132,left,GASOLINE,2300.0,0.0,350000
Volkswagen,Tiguan,FF,SUV,2,2020,0,7800,AUTO,150,left,GASOLINE,1400.0,1.0,2150000
Chevrolet,Lanos,FF,SEDAN,1,2006,0,200000,MANUAL,86,left,GASOLINE,1500.0,8.0,99099
SsangYong,Kyron,4WD,SUV,1,2012,1,40800,MANUAL,141,left,DIESEL,2000.0,0.0,725000
Mazda,Mazda3,FF,HATCH,1,2007,1,192000,MANUAL,105,left,GASOLINE,1600.0,3.0,395000
Renault,Duster,FF,SUV,1,2017,1,49932,MANUAL,114,left,GASOLINE,1600.0,1.0,879000
Mini,Hatch,FF,HATCH_3DR,2,2006,0,180000,AUTO,98,left,GASOLINE,1600.0,0.0,550000
BMW,3-Series,RR,SEDAN,6,2013,0,93736,AUTO,136,left,GASOLINE,1600.0,2.0,1290000
Vortex,Tingo,FF,SUV,1,2011,0,72300,MANUAL,132,left,GASOLINE,1800.0,1.0,410000
Mazda,Mazda6,FF,SEDAN,3,2014,0,208000,MANUAL,150,left,GASOLINE,2000.0,1.0,980000
Honda,Prelude,FF,COUPE,4,1993,1,130000,MANUAL,100,right,GASOLINE,2200.0,0.0,270000
Volkswagen,Amarok,4WD,PICKUP,1,2012,0,220000,MANUAL,122,left,DIESEL,2000.0,2.0,750000
Chevrolet,Spark,FF,HATCH,0,2012,0,42000,AUTO,67,left,GASOLINE,995.0,1.0,553500
Lexus,LX570,4WD,SUV,3,2017,2,60000,AUTO,367,left,GASOLINE,5700.0,2.0,7000000
Volkswagen,Polo,FF,SEDAN,5,2013,0,185125,MANUAL,105,left,GASOLINE,1600.0,0.0,385000
Toyota,Tundra,4WD,PICKUP,2,2014,2,107200,AUTO,381,left,GASOLINE,5700.0,2.0,4142699
Datsun,on-DO,FF,SEDAN,1,2016,0,27259,MANUAL,87,left,GASOLINE,1600.0,0.0,420000
Ford,Focus,FF,SEDAN,2,2008,1,187500,MT,125,left,GASOLINE,1800.0,3.0,459999
Nissan,Teana,4WD,SEDAN,2,2012,1,151000,AUTO,167,left,GASOLINE,2500.0,0.0,715000
Audi,A4,FF,SEDAN,4,2015,1,135000,CVT,170,left,GASOLINE,1800.0,3.0,1399999
Chevrolet,Lanos,FF,SEDAN,1,2007,0,117000,MT,86,left,GASOLINE,1500.0,4.0,129000
Volvo,S80,4WD,SEDAN,2,2007,0,167000,AT,238,left,GASOLINE,3200.0,8.0,744000
Nissan,Almera,FF,SEDAN,3,2013,0,142000,AT,102,left,GASOLINE,1600.0,4.0,460000
Renault,Megane,FF,SEDAN,2,2004,0,207000,MANUAL,98,left,GASOLINE,1400.0,5.0,185000
Datsun,on-DO,FF,SEDAN,1,2015,0,160000,MT,82,left,GASOLINE,1600.0,2.0,280000
Kia,Ceed,FF,WAGON,2,2014,0,190000,MT,129,left,GASOLINE,1600.0,0.0,520000
Mazda,Mazda6,FF,SEDAN,2,2010,1,170000,AUTO,147,left,GASOLINE,2000.0,2.0,700000
Land Rover,Discovery,4WD,SUV,3,2008,0,228000,AT,190,left,DIESEL,2700.0,6.0,880000
Lexus,LX570,4WD,SUV,3,2010,0,300000,AUTO,367,left,GASOLINE,5700.0,2.0,3030000
Nissan,Qashqai,FF,SUV,1,2013,1,165000,AUTO,141,left,GASOLINE,2000.0,2.0,900000
Mazda,Mazda3,FF,HATCH,1,2006,0,175400,AUTO,105,left,GASOLINE,1600.0,2.0,477000
Audi,A3,FF,HATCH,2,2011,2,160000,SAT,125,left,GASOLINE,1400.0,7.0,585000
Chevrolet,Lacetti,FF,HATCH,1,2008,0,220000,MANUAL,95,left,GASOLINE,1400.0,2.0,275000
Mazda,CX-5,4WD,SUV,2,2017,0,41300,AUTO,194,left,GASOLINE,2500.0,2.0,1820000
Hyundai,Getz,FF,HATCH,1,2008,1,142000,AT,97,left,GASOLINE,1400.0,2.0,430000
Opel,Astra,FF,WAGON,4,2012,0,89267,MANUAL,115,left,GASOLINE,1600.0,1.0,579000
Geely,Emgrand X7,FF,SUV,1,2014,0,63932,MANUAL,139,left,GASOLINE,2000.0,4.0,539000
Kia,Picanto,FF,HATCH,2,2013,0,98125,AUTO,85,left,GASOLINE,1200.0,4.0,659000
Kia,Sorento,4WD,SUV,4,2020,0,25803,AUTO,180,left,GASOLINE,2500.0,1.0,2929000
Hyundai,Getz,FF,HATCH,1,2006,1,73001,AUTO,97,left,GASOLINE,1400.0,2.0,459000
Subaru,Legacy,4WD,WAGON,2,1997,1,100000,AUTO,135,right,GASOLINE,2000.0,0.0,155000
Daewoo,Matiz,FF,HATCH,1,2007,1,121236,MT,51,left,GASOLINE,800.0,4.0,85000
Honda,Civic,FF,SEDAN,8,2009,1,235482,CVT,95,left,GASOLINE,1300.0,7.0,435000
Skoda,Rapid,FF,HATCH,0,2021,0,0,AUTO,110,left,GASOLINE,1600.0,0.0,1297900
Kia,Ceed,FF,HATCH,1,2011,1,46000,MANUAL,109,left,GASOLINE,1400.0,1.0,649900
Chery,Very A13,FF,HATCH,1,2012,0,182000,MT,109,left,GASOLINE,1500.0,2.0,180000
Hyundai,Santa Fe,4WD,SUV,1,2005,1,189000,AUTO,112,left,DIESEL,2000.0,3.0,489000
Opel,Astra,FF,SEDAN,2,2003,0,287000,MT,84,left,GASOLINE,1600.0,5.0,205000
Nissan,Juke,FF,SUV,1,2012,0,21376,MT,117,left,GASOLINE,1600.0,1.0,950000
Volkswagen,Sharan,FF,MINIVAN,-1,2011,-1,77000,AUTO,150,right,GASOLINE,1400.0,0.0,965000
Kia,Rio,FF,SEDAN,3,2011,0,137200,AUTO,123,left,GASOLINE,1600.0,3.0,545000
Mercedes-Benz,E-Class,FR,SEDAN,4,2014,1,130000,AT,184,left,GASOLINE,2000.0,5.0,1600000
Mazda,Mazda3,FF,HATCH,1,2007,1,289000,MANUAL,105,left,GASOLINE,1600.0,8.0,370000
Chevrolet,Lacetti,FF,SEDAN,1,2012,0,200000,MT,95,left,GASOLINE,1400.0,3.0,335000
Mazda,Mazda3,FF,HATCH,2,2010,0,134200,MANUAL,105,left,GASOLINE,1600.0,1.0,547000
Renault,Duster,4WD,SUV,1,2014,0,180000,AUTO,135,left,GASOLINE,2000.0,4.0,710000
Volkswagen,Jetta,FF,SEDAN,6,2015,1,108000,MT,85,left,GASOLINE,1600.0,3.0,790000
Opel,Vectra,FF,SEDAN,-1,1999,-1,200000,AUTO,115,right,GASOLINE,1800.0,7.0,135000
Mercedes-Benz,C-Class,4WD,COUPE,4,2017,0,85000,AT,184,left,GASOLINE,2000.0,5.0,2575000
Daihatsu,Terios,4WD,SUV,1,1997,0,138200,AUTO,92,right,GASOLINE,1300.0,0.0,277000
